"predicate_class","condition_selector","condition_candidate_ids","condition_candidate_keys","contradiction_condition_ids","contradiction_condition_keys","freshness_condition_ids","freshness_condition_keys","evaluation_contract","observability","implementation_status","status"
"PRICE_ACCEPTANCE","SIDE_RESOLVED","CD-G16-017 CD-G16-018 CD-G11-029 CD-G11-031","acceptance_above_reference acceptance_below_reference acceptance_above_value_session acceptance_below_value_session","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate PRICE_ACCEPTANCE with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"PRICE_PROGRESS","SIDE_RESOLVED","CD-G09-002 CD-G09-006 CD-G09-018 CD-G09-022 CD-G16-021 CD-G16-022","upward_progress_ticks_1s downward_progress_ticks_1s buy_efficiency_1s sell_efficiency_1s upside_breakout_follow_through downside_breakout_follow_through","CD-G09-026 CD-G09-030","buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate PRICE_PROGRESS with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"PRICE_REVERSAL","SIDE_RESOLVED","CD-G09-034 CD-G09-038 CD-G16-015 CD-G16-016 CD-G16-040 CD-G16-041","reversion_from_window_high_1s reversion_from_window_low_1s high_rejection_active low_rejection_active directional_flow_resumed_up directional_flow_resumed_down","CD-G16-021 CD-G16-022","upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate PRICE_REVERSAL with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"PRICE_STALL","SIDE_RESOLVED","CD-G09-026 CD-G09-030 CD-G16-033 CD-G16-034","buy_no_progress_ratio_1s sell_no_progress_ratio_1s buy_momentum_fading sell_momentum_fading","CD-G09-002 CD-G09-006","upward_progress_ticks_1s downward_progress_ticks_1s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate PRICE_STALL with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"PRICE_STRUCTURE","SIDE_RESOLVED","CD-G03-021 CD-G03-023 CD-G03-025 CD-G03-027 CD-G09-002 CD-G09-006","distance_to_rolling_1m_high distance_to_rolling_1m_low distance_to_rolling_5m_high distance_to_rolling_5m_low upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate PRICE_STRUCTURE with a versioned comparator; candidates are material routes, not simultaneous votes.","DERIVED","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"PROFILE_AUCTION","REFERENCE_SIDE_RESOLVED","CD-G11-001 CD-G11-007 CD-G11-009 CD-G11-017 CD-G11-019 CD-G11-029 CD-G11-031","point_of_control_distance_session high_volume_node_distance_session low_volume_node_distance_session poc_migration_session value_area_migration_session acceptance_above_value_session acceptance_below_value_session","CD-G11-017 CD-G11-019","poc_migration_session value_area_migration_session","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-027 CD-G01-028","trade_event_fresh exchange_clock_aligned event_order_monotonic window_complete baseline_sample_sufficient","Evaluate PROFILE_AUCTION with a versioned comparator; candidates are material routes, not simultaneous votes.","DERIVED","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"PULLBACK_STATE","TERMINAL_SIDE_RESOLVED","CD-G16-027 CD-G16-028 CD-G16-029 CD-G16-030","bullish_pullback_low_participation bearish_pullback_low_participation bullish_pullback_stall bearish_pullback_stall","CD-G16-031 CD-G16-032","buy_momentum_accelerating sell_momentum_accelerating","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate PULLBACK_STATE with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"RECLAIM_RETURN","SIDE_RESOLVED","CD-G16-025 CD-G16-026 CD-G09-034 CD-G09-038","reclaim_above_reference reclaim_below_reference reversion_from_window_high_1s reversion_from_window_low_1s","CD-G16-017 CD-G16-018","acceptance_above_reference acceptance_below_reference","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate RECLAIM_RETURN with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"RETEST_SEQUENCE","REFERENCE_SIDE_RESOLVED","CD-G16-013 CD-G16-014","repeated_high_test repeated_low_test","CD-G16-021 CD-G16-022 CD-G16-023 CD-G16-024","upside_breakout_follow_through downside_breakout_follow_through upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","Evaluate RETEST_SEQUENCE with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"STOP_SWEEP","SIDE_RESOLVED","CD-G16-042 CD-G16-043 CD-G16-044 CD-G16-045 CD-G08-014 CD-G08-038","upward_sweep_active downward_sweep_active upside_stop_run_like downside_stop_run_like buy_large_trade_count_1s sell_large_trade_count_1s","CD-G16-021 CD-G16-022","upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","Evaluate STOP_SWEEP with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"TAPE_AGGRESSION","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate TAPE_AGGRESSION with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"TAPE_FADE","SIDE_RESOLVED","CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G08-017 CD-G08-041 CD-G10-014","buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading buy_trade_rate_1s sell_trade_rate_1s delta_acceleration_5s","CD-G16-009 CD-G16-010","buyers_jump_in sellers_jump_in","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate TAPE_FADE with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"TAPE_PARTICIPATION","SIDE_RESOLVED","CD-G04-015 CD-G08-002 CD-G08-005 CD-G08-026 CD-G08-029","trade_rate_percentile_1m buy_market_volume_1s buy_trade_count_1s sell_market_volume_1s sell_trade_count_1s","CD-G04-015","trade_rate_percentile_1m","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate TAPE_PARTICIPATION with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"TEMPORAL_SEQUENCE","ENGINE_TIME","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016 CD-G01-019 CD-G01-027","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent persistence_confirmed window_complete","Evaluate TEMPORAL_SEQUENCE with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","ENGINE_NATIVE","UNVALIDATED"
"TRAPPED_PARTICIPANTS","SIDE_RESOLVED","CD-G16-011 CD-G16-012 CD-G09-034 CD-G09-038","trapped_buyers_like trapped_sellers_like reversion_from_window_high_1s reversion_from_window_low_1s","CD-G16-017 CD-G16-018","acceptance_above_reference acceptance_below_reference","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate TRAPPED_PARTICIPANTS with a versioned comparator; candidates are material routes, not simultaneous votes.","INFERRED","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"TREND_CONTEXT","SIDE_RESOLVED","CD-G02-016 CD-G02-023 CD-G16-040 CD-G16-041 CD-G09-002 CD-G09-006","trend_regime regime_age directional_flow_resumed_up directional_flow_resumed_down upward_progress_ticks_1s downward_progress_ticks_1s","CD-G02-017","balance_regime","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate TREND_CONTEXT with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"WALL_STATE","SIDE_RESOLVED","CD-G06-029 CD-G06-030 CD-G06-031 CD-G06-032 CD-G07-011 CD-G07-014 CD-G07-035 CD-G07-038 CD-G16-035 CD-G16-036 CD-G16-037 CD-G16-038","bid_wall_concentration_top10 distance_to_nearest_bid_wall ask_wall_concentration_top10 distance_to_nearest_ask_wall bid_refresh_count_1s bid_pull_ratio_1s ask_refresh_count_1s ask_pull_ratio_1s bid_passive_defense_holding ask_passive_defense_holding bid_passive_defense_failed ask_passive_defense_failed","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-020 CD-G01-021 CD-G01-027","depth_book_synced depth_sequence_contiguous depth_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed market_state_atomic cross_source_time_aligned window_complete","Evaluate WALL_STATE with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"ENGINE_TERMINAL","ENGINE_STATE","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent","Evaluate ENGINE_TERMINAL with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","ENGINE_NATIVE","UNVALIDATED"
"ENGINE_EXPIRY","ENGINE_TIME","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent","Evaluate ENGINE_EXPIRY with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","ENGINE_NATIVE","UNVALIDATED"
"COMPOSITE_INVALIDATION","ANY_MATCHED_ATOM","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016 CD-G01-021","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent cross_source_time_aligned","Evaluate COMPOSITE_INVALIDATION with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","ENGINE_NATIVE","UNVALIDATED"
