"predicate_id","predicate_kind","observation_text","predicate_classes","side_binding","condition_selectors","condition_candidate_ids","condition_candidate_keys","contradiction_condition_ids","contradiction_condition_keys","freshness_condition_ids","freshness_condition_keys","evaluation_contract","observability","implementation_status","base_edge_ids","status"
"OPR-011","OBSERVATION","range break","BREAK_ATTEMPT","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-019 CD-G16-020 CD-G09-002 CD-G09-006","upside_breakout_attempt downside_breakout_attempt upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-FAILED-BREAK-SQUEEZE-001::E01 PAT-STACK-RANGE-POC-SHIFT-001::E05","UNVALIDATED"
"OPR-012","OBSERVATION","CVDがbreakと逆行","DELTA_STATE FLOW_PRICE_DIVERGENCE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G10-001 CD-G10-002 CD-G10-005 CD-G10-006 CD-G10-009 CD-G10-010 CD-G16-048 CD-G09-002 CD-G09-006","trade_delta_1s trade_delta_5s cvd_change_1s cvd_change_5s cvd_slope_1s cvd_slope_5s flow_price_divergence_active upward_progress_ticks_1s downward_progress_ticks_1s","CD-G10-001 CD-G10-002 CD-G16-021 CD-G16-022","trade_delta_1s trade_delta_5s upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","PAT-CVD-FAILED-BREAK-SQUEEZE-001::E02","UNVALIDATED"
"OPR-013","OBSERVATION","pullbackが深くなる","LIQUIDITY_PULL PULLBACK_STATE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED TERMINAL_SIDE_RESOLVED","CD-G07-014 CD-G07-023 CD-G07-038 CD-G07-047 CD-G16-027 CD-G16-028 CD-G16-029 CD-G16-030","bid_pull_ratio_1s bid_depth_change_1s ask_pull_ratio_1s ask_depth_change_1s bullish_pullback_low_participation bearish_pullback_low_participation bullish_pullback_stall bearish_pullback_stall","CD-G07-017 CD-G07-041 CD-G16-031 CD-G16-032","bid_stack_ratio_1s ask_stack_ratio_1s buy_momentum_accelerating sell_momentum_accelerating","CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-020 CD-G01-021 CD-G01-027 CD-G01-005","depth_book_synced depth_sequence_contiguous depth_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed market_state_atomic cross_source_time_aligned window_complete trade_event_fresh","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","PAT-CVD-FAILED-BREAK-SQUEEZE-001::E03","UNVALIDATED"
"OPR-014","OBSERVATION","higher-low／lower-high形成","PRICE_STRUCTURE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G03-021 CD-G03-023 CD-G03-025 CD-G03-027 CD-G09-002 CD-G09-006","distance_to_rolling_1m_high distance_to_rolling_1m_low distance_to_rolling_5m_high distance_to_rolling_5m_low upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DERIVED","DERIVED_EVALUATOR_REQUIRED","PAT-CVD-FAILED-BREAK-SQUEEZE-001::E04","UNVALIDATED"
"OPR-015","OBSERVATION","wedgeをrange側へbreak","BREAK_ATTEMPT","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-019 CD-G16-020 CD-G09-002 CD-G09-006","upside_breakout_attempt downside_breakout_attempt upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-FAILED-BREAK-SQUEEZE-001::E05","UNVALIDATED"
"OPR-016","OBSERVATION","first extreme","RETEST_SEQUENCE","DYNAMIC_FROM_PATTERN_CONTEXT","REFERENCE_SIDE_RESOLVED","CD-G16-013 CD-G16-014","repeated_high_test repeated_low_test","CD-G16-021 CD-G16-022 CD-G16-023 CD-G16-024","upside_breakout_follow_through downside_breakout_follow_through upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-RETEST-WEAKER-001::E01","UNVALIDATED"
"OPR-017","OBSERVATION","同価格再test","RETEST_SEQUENCE","DYNAMIC_FROM_PATTERN_CONTEXT","REFERENCE_SIDE_RESOLVED","CD-G16-013 CD-G16-014","repeated_high_test repeated_low_test","CD-G16-021 CD-G16-022 CD-G16-023 CD-G16-024","upside_breakout_follow_through downside_breakout_follow_through upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-RETEST-WEAKER-001::E03 PAT-EXH-BUYER-DOUBLE-FADE-001::E04 PAT-EXH-SELLER-DOUBLE-FADE-001::E04","UNVALIDATED"
"OPR-018","OBSERVATION","initiator printがさらに減る","TAPE_AGGRESSION TAPE_FADE","OBSERVED_INITIATOR_SIDE","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002 CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G10-014","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading delta_acceleration_5s","CD-G16-007 CD-G16-008 CD-G16-009 CD-G16-010","buyer_fade_active seller_fade_active buyers_jump_in sellers_jump_in","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","PAT-CVD-RETEST-WEAKER-001::E04","UNVALIDATED"
"OPR-019","OBSERVATION","bearish divergence","FLOW_PRICE_DIVERGENCE","EXPLICIT_SELL_OR_ASK_COMPONENT","SIDE_RESOLVED","CD-G16-048 CD-G10-006 CD-G10-010 CD-G09-002 CD-G09-006","flow_price_divergence_active cvd_change_5s cvd_slope_5s upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-021 CD-G16-022","upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E01","UNVALIDATED"
"OPR-020","OBSERVATION","bid-side absorption","ABSORPTION_STATE","EXPLICIT_BUY_OR_BID_COMPONENT","SIDE_RESOLVED","CD-G16-001 CD-G16-002 CD-G09-026 CD-G09-030","bid_absorption_like_active ask_absorption_like_active buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E02","UNVALIDATED"
"OPR-021","OBSERVATION","buy wall崩壊","BREAK_ATTEMPT WALL_STATE","EXPLICIT_BUY_OR_BID_COMPONENT","SIDE_RESOLVED","CD-G16-019 CD-G16-020 CD-G09-002 CD-G09-006 CD-G06-029 CD-G06-030 CD-G06-031 CD-G06-032 CD-G07-011 CD-G07-014 CD-G07-035 CD-G07-038 CD-G16-035 CD-G16-036 CD-G16-037 CD-G16-038","upside_breakout_attempt downside_breakout_attempt upward_progress_ticks_1s downward_progress_ticks_1s bid_wall_concentration_top10 distance_to_nearest_bid_wall ask_wall_concentration_top10 distance_to_nearest_ask_wall bid_refresh_count_1s bid_pull_ratio_1s ask_refresh_count_1s ask_pull_ratio_1s bid_passive_defense_holding ask_passive_defense_holding bid_passive_defense_failed ask_passive_defense_failed","CD-G16-023 CD-G16-024 CD-G16-037 CD-G16-038","upside_breakout_failure downside_breakout_failure bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E03","UNVALIDATED"
"OPR-022","OBSERVATION","fresh OI減少","OPEN_INTEREST_CHANGE","DYNAMIC_FROM_PATTERN_CONTEXT","SIGN_RESOLVED","CD-G12-001 CD-G12-002 CD-G12-003","open_interest_change_5m open_interest_pct_change_5m price_oi_joint_state_5m","CD-G12-001 CD-G12-002","open_interest_change_5m open_interest_pct_change_5m","CD-G01-007 CD-G01-009 CD-G01-011 CD-G01-021 CD-G01-024 CD-G01-027","open_interest_snapshot_fresh exchange_clock_aligned event_order_monotonic cross_source_time_aligned sampling_limit_disclosed window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","LIMITED","DERIVED_EVALUATOR_REQUIRED","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E04","UNVALIDATED"
"OPR-023","OBSERVATION","key level","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","VARIANT_LOCATION","","","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","VARIANT_LOCATION_SELECTOR","PAT-ABS-FULL-THREE-ELEMENT-001::E01","UNVALIDATED"
"OPR-024","OBSERVATION","initiator優勢だがprice停止","PRICE_STALL TAPE_AGGRESSION","OBSERVED_INITIATOR_SIDE","SIDE_RESOLVED","CD-G09-026 CD-G09-030 CD-G16-033 CD-G16-034 CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_no_progress_ratio_1s sell_no_progress_ratio_1s buy_momentum_fading sell_momentum_fading buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G09-002 CD-G09-006 CD-G16-007 CD-G16-008","upward_progress_ticks_1s downward_progress_ticks_1s buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","DERIVED_EVALUATOR_REQUIRED","PAT-ABS-FULL-THREE-ELEMENT-001::E02","UNVALIDATED"
"OPR-025","OBSERVATION","initiator fade","TAPE_AGGRESSION TAPE_FADE","OBSERVED_INITIATOR_SIDE","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002 CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G10-014","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading delta_acceleration_5s","CD-G16-007 CD-G16-008 CD-G16-009 CD-G16-010","buyer_fade_active seller_fade_active buyers_jump_in sellers_jump_in","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","PAT-ABS-FULL-THREE-ELEMENT-001::E04","UNVALIDATED"
"OPR-026","OBSERVATION","short pause","TEMPORAL_SEQUENCE","DYNAMIC_FROM_PATTERN_CONTEXT","ENGINE_TIME","","","","","CD-G01-009 CD-G01-010 CD-G01-011 CD-G01-016 CD-G01-019 CD-G01-027","exchange_clock_aligned receive_clock_monotonic event_order_monotonic duplicate_event_absent persistence_confirmed window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","ENGINE_NATIVE","PAT-ABS-FULL-THREE-ELEMENT-001::E05","UNVALIDATED"
"OPR-027","OBSERVATION","opposite aggressor参加","TAPE_AGGRESSION","TERMINAL_SIDE","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-ABS-FULL-THREE-ELEMENT-001::E06","UNVALIDATED"
"OPR-028","OBSERVATION","supportへsell aggression","TAPE_AGGRESSION","EXPLICIT_SELL_OR_ASK_COMPONENT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E01","UNVALIDATED"
