"hook_id","hook_name","category","direction_hint","detector_status","detector_file","routing_class","wake_strategies","refresh_condition_ids","refresh_condition_keys","routing_gap","open_position_recheck"
"A11","best_bid_retreat","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_quote_motion.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G05-001;CD-G09-005;CD-G09-006;CD-G06-010","bid_l1_price;downward_progress_ticks_100ms;downward_progress_ticks_1s;microprice_top1","","ALL_OPEN_POSITIONS"
"A12","best_ask_retreat","A","UP","IMPLEMENTED_UNCALIBRATED","dom_quote_motion.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G05-021;CD-G09-001;CD-G09-002;CD-G06-010","ask_l1_price;upward_progress_ticks_100ms;upward_progress_ticks_1s;microprice_top1","","ALL_OPEN_POSITIONS"
"A13","best_bid_advance","A","UP","IMPLEMENTED_UNCALIBRATED","dom_quote_motion.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G05-001;CD-G09-001;CD-G09-002;CD-G06-010","bid_l1_price;upward_progress_ticks_100ms;upward_progress_ticks_1s;microprice_top1","","ALL_OPEN_POSITIONS"
"A14","best_ask_advance","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_quote_motion.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G05-021;CD-G09-005;CD-G09-006;CD-G06-010","ask_l1_price;downward_progress_ticks_100ms;downward_progress_ticks_1s;microprice_top1","","ALL_OPEN_POSITIONS"
"A15","spread_expansion","A","NONE","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G04-011;CD-G04-012;CD-G04-013;CD-G04-024","spread_ticks;spread_percentile_1m;spread_percentile_5m;tradeability_state","","ALL_OPEN_POSITIONS"
"A16","spread_recovery","A","NONE","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G04-011;CD-G04-012;CD-G04-013;CD-G04-024","spread_ticks;spread_percentile_1m;spread_percentile_5m;tradeability_state","","ALL_OPEN_POSITIONS"
"A17","bid_iceberg_suspected","A","UP","IMPLEMENTED_UNCALIBRATED","dom_iceberg.py","SUSPECTED_CONTEXT_ONLY","ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G07-011;CD-G09-030;CD-G09-031;CD-G16-001","bid_refresh_count_1s;sell_no_progress_ratio_1s;sell_no_progress_ratio_5s;bid_absorption_like_active","","ALL_OPEN_POSITIONS"
"A18","ask_iceberg_suspected","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_iceberg.py","SUSPECTED_CONTEXT_ONLY","ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G07-035;CD-G09-026;CD-G09-027;CD-G16-002","ask_refresh_count_1s;buy_no_progress_ratio_1s;buy_no_progress_ratio_5s;ask_absorption_like_active","","ALL_OPEN_POSITIONS"
"A19","bid_spoofing_suspected","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_wall.py","SUSPECTED_CONTEXT_ONLY","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-029;CD-G07-013;CD-G07-014;CD-G07-016;CD-G07-017","bid_wall_concentration_top10;bid_pull_ratio_100ms;bid_pull_ratio_1s;bid_stack_ratio_100ms;bid_stack_ratio_1s","","ALL_OPEN_POSITIONS"
"A20","ask_spoofing_suspected","A","UP","IMPLEMENTED_UNCALIBRATED","dom_wall.py","SUSPECTED_CONTEXT_ONLY","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-031;CD-G07-037;CD-G07-038;CD-G07-040;CD-G07-041","ask_wall_concentration_top10;ask_pull_ratio_100ms;ask_pull_ratio_1s;ask_stack_ratio_100ms;ask_stack_ratio_1s","","ALL_OPEN_POSITIONS"
"A21","upside_vacuum","A","UP","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_FAILURE;PULLBACK_CONTINUATION","CD-G06-007;CD-G06-008;CD-G07-047;CD-G04-021;CD-G04-024","ask_cumulative_depth_top5;ask_cumulative_depth_top10;ask_depth_change_1s;estimated_buy_impact_ticks;tradeability_state","","ALL_OPEN_POSITIONS"
"A22","downside_vacuum","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_FAILURE;PULLBACK_CONTINUATION","CD-G06-003;CD-G06-004;CD-G07-023;CD-G04-022;CD-G04-024","bid_cumulative_depth_top5;bid_cumulative_depth_top10;bid_depth_change_1s;estimated_sell_impact_ticks;tradeability_state","","ALL_OPEN_POSITIONS"
"A23","bid_wall_tracks_up","A","UP","IMPLEMENTED_UNCALIBRATED","dom_wall.py","DECISION_RELEVANT_WAKE","ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-029;CD-G06-030;CD-G05-001;CD-G16-035","bid_wall_concentration_top10;distance_to_nearest_bid_wall;bid_l1_price;bid_passive_defense_holding","","ALL_OPEN_POSITIONS"
"A24","ask_wall_tracks_down","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_wall.py","DECISION_RELEVANT_WAKE","ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-031;CD-G06-032;CD-G05-021;CD-G16-036","ask_wall_concentration_top10;distance_to_nearest_ask_wall;ask_l1_price;ask_passive_defense_holding","","ALL_OPEN_POSITIONS"
"B01","consecutive_market_buys","B","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-004;CD-G08-005;CD-G08-017;CD-G08-023;CD-G16-031","buy_trade_count_100ms;buy_trade_count_1s;buy_trade_rate_1s;buy_side_share_1s;buy_momentum_accelerating","","ALL_OPEN_POSITIONS"
"B02","consecutive_market_sells","B","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-028;CD-G08-029;CD-G08-041;CD-G08-047;CD-G16-032","sell_trade_count_100ms;sell_trade_count_1s;sell_trade_rate_1s;sell_side_share_1s;sell_momentum_accelerating","","ALL_OPEN_POSITIONS"
"B03","buy_aggression","B","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-002;CD-G08-020;CD-G08-017;CD-G09-018;CD-G16-031","buy_market_volume_1s;buy_notional_1s;buy_trade_rate_1s;buy_efficiency_1s;buy_momentum_accelerating","","ALL_OPEN_POSITIONS"
"B04","sell_aggression","B","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-026;CD-G08-044;CD-G08-041;CD-G09-022;CD-G16-032","sell_market_volume_1s;sell_notional_1s;sell_trade_rate_1s;sell_efficiency_1s;sell_momentum_accelerating","","ALL_OPEN_POSITIONS"
"B05","trade_speed_spike","B","NONE","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-016;CD-G08-040;CD-G08-017;CD-G08-041;CD-G04-015;CD-G02-020","buy_trade_rate_100ms;sell_trade_rate_100ms;buy_trade_rate_1s;sell_trade_rate_1s;trade_rate_percentile_1m;participation_regime","","ALL_OPEN_POSITIONS"
"B06","trade_pause","B","NONE","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-017;CD-G08-041;CD-G16-033;CD-G16-034;CD-G16-039","buy_trade_rate_1s;sell_trade_rate_1s;buy_momentum_fading;sell_momentum_fading;two_way_trade_emerged","","ALL_OPEN_POSITIONS"
"B07","large_market_buy","B","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-010;CD-G08-014;CD-G08-020","buy_max_trade_size_100ms;buy_large_trade_count_1s;buy_notional_1s","","ALL_OPEN_POSITIONS"
"B08","large_market_sell","B","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-034;CD-G08-038;CD-G08-044","sell_max_trade_size_100ms;sell_large_trade_count_1s;sell_notional_1s","","ALL_OPEN_POSITIONS"
"B09","large_buy_cluster","B","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-014;CD-G08-015;CD-G08-003","buy_large_trade_count_1s;buy_large_trade_count_5s;buy_market_volume_5s","","ALL_OPEN_POSITIONS"
"B10","large_sell_cluster","B","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-038;CD-G08-039;CD-G08-027","sell_large_trade_count_1s;sell_large_trade_count_5s;sell_market_volume_5s","","ALL_OPEN_POSITIONS"
"B11","buy_sweep","B","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G16-042;CD-G08-002;CD-G08-017;CD-G09-002","upward_sweep_active;buy_market_volume_1s;buy_trade_rate_1s;upward_progress_ticks_1s","","ALL_OPEN_POSITIONS"
"B12","sell_sweep","B","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G16-043;CD-G08-026;CD-G08-041;CD-G09-006","downward_sweep_active;sell_market_volume_1s;sell_trade_rate_1s;downward_progress_ticks_1s","","ALL_OPEN_POSITIONS"
"B13","average_trade_size_spike","B","NONE","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-008;CD-G08-032;CD-G08-011;CD-G08-035","buy_average_trade_size_1s;sell_average_trade_size_1s;buy_max_trade_size_1s;sell_max_trade_size_1s","","ALL_OPEN_POSITIONS"
"B14","small_trade_burst","B","NONE","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-005;CD-G08-029;CD-G08-008;CD-G08-032","buy_trade_count_1s;sell_trade_count_1s;buy_average_trade_size_1s;sell_average_trade_size_1s","","ALL_OPEN_POSITIONS"
"B15","buy_delta_spike","B","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G10-001;CD-G10-002;CD-G10-005;CD-G10-021","trade_delta_1s;trade_delta_5s;cvd_change_1s;positive_imbalance_count_1s","","ALL_OPEN_POSITIONS"
"B16","sell_delta_spike","B","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G10-001;CD-G10-002;CD-G10-005;CD-G10-025","trade_delta_1s;trade_delta_5s;cvd_change_1s;negative_imbalance_count_1s","","ALL_OPEN_POSITIONS"
"B17","delta_flip_buy_to_sell","B","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G10-001;CD-G10-009;CD-G10-025;CD-G16-010","trade_delta_1s;cvd_slope_1s;negative_imbalance_count_1s;sellers_jump_in","","ALL_OPEN_POSITIONS"
"B18","delta_flip_sell_to_buy","B","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G10-001;CD-G10-009;CD-G10-021;CD-G16-009","trade_delta_1s;cvd_slope_1s;positive_imbalance_count_1s;buyers_jump_in","","ALL_OPEN_POSITIONS"
"B19","directional_persistence","B","NONE","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G16-031;CD-G16-032;CD-G16-040;CD-G16-041;CD-G09-003;CD-G09-007","buy_momentum_accelerating;sell_momentum_accelerating;directional_flow_resumed_up;directional_flow_resumed_down;upward_progress_ticks_5s;downward_progress_ticks_5s","","ALL_OPEN_POSITIONS"
"B20","high_volume_neutral_delta","B","NONE","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G08-003;CD-G08-027;CD-G10-002;CD-G09-027;CD-G09-031;CD-G16-039","buy_market_volume_5s;sell_market_volume_5s;trade_delta_5s;buy_no_progress_ratio_5s;sell_no_progress_ratio_5s;two_way_trade_emerged","","ALL_OPEN_POSITIONS"
"C01","buy_absorption","C","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G16-001;CD-G09-030;CD-G09-031;CD-G16-035","bid_absorption_like_active;sell_no_progress_ratio_1s;sell_no_progress_ratio_5s;bid_passive_defense_holding","","ALL_OPEN_POSITIONS"
"C02","sell_absorption","C","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G16-002;CD-G09-026;CD-G09-027;CD-G16-036","ask_absorption_like_active;buy_no_progress_ratio_1s;buy_no_progress_ratio_5s;ask_passive_defense_holding","","ALL_OPEN_POSITIONS"
"C03","buy_absorption_failed","C","DOWN","IMPLEMENTED_UNCALIBRATED","interaction.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE","CD-G16-005;CD-G16-037;CD-G16-022","bid_absorption_weakening;bid_passive_defense_failed;downside_breakout_follow_through","","ALL_OPEN_POSITIONS"
"C04","sell_absorption_failed","C","UP","IMPLEMENTED_UNCALIBRATED","interaction.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE","CD-G16-006;CD-G16-038;CD-G16-021","ask_absorption_weakening;ask_passive_defense_failed;upside_breakout_follow_through","","ALL_OPEN_POSITIONS"
"C05","repeated_absorption","C","BOTH","IMPLEMENTED_UNCALIBRATED","interaction.py","DECISION_RELEVANT_WAKE","FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G16-003;CD-G16-004;CD-G16-013;CD-G16-014","bid_absorption_strengthening;ask_absorption_strengthening;repeated_high_test;repeated_low_test","","ALL_OPEN_POSITIONS"
"C06","wall_collision_started","C","BOTH","IMPLEMENTED_UNCALIBRATED","interaction.py","DECISION_RELEVANT_WAKE","FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-029;CD-G06-031;CD-G16-013;CD-G16-014;CD-G16-001;CD-G16-002","bid_wall_concentration_top10;ask_wall_concentration_top10;repeated_high_test;repeated_low_test;bid_absorption_like_active;ask_absorption_like_active","","ALL_OPEN_POSITIONS"
"C07","ask_wall_consumed","C","UP","IMPLEMENTED_UNCALIBRATED","interaction.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE","CD-G16-038;CD-G16-042;CD-G16-021","ask_passive_defense_failed;upward_sweep_active;upside_breakout_follow_through","","ALL_OPEN_POSITIONS"
"C08","bid_wall_consumed","C","DOWN","IMPLEMENTED_UNCALIBRATED","interaction.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE","CD-G16-037;CD-G16-043;CD-G16-022","bid_passive_defense_failed;downward_sweep_active;downside_breakout_follow_through","","ALL_OPEN_POSITIONS"
"C09","liquidation_absorbed","C","NONE","IMPLEMENTED_UNCALIBRATED","interaction.py","DECISION_RELEVANT_WAKE","FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;MOMENTUM_EXHAUSTION","CD-G12-029;CD-G16-001;CD-G16-002;CD-G09-026;CD-G09-030","observed_liquidation_imbalance_1s;bid_absorption_like_active;ask_absorption_like_active;buy_no_progress_ratio_1s;sell_no_progress_ratio_1s","","ALL_OPEN_POSITIONS"
"D01","buy_effective_transition","D","UP","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G09-002;CD-G09-018;CD-G16-031;CD-G16-040","upward_progress_ticks_1s;buy_efficiency_1s;buy_momentum_accelerating;directional_flow_resumed_up","","ALL_OPEN_POSITIONS"
"D02","sell_effective_transition","D","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G09-006;CD-G09-022;CD-G16-032;CD-G16-041","downward_progress_ticks_1s;sell_efficiency_1s;sell_momentum_accelerating;directional_flow_resumed_down","","ALL_OPEN_POSITIONS"
"D03","buy_trapped_transition","D","DOWN","REGISTERED_UNIMPLEMENTED","","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G09-026;CD-G16-011;CD-G16-015;CD-G16-048","buy_no_progress_ratio_1s;trapped_buyers_like;high_rejection_active;flow_price_divergence_active","","ALL_OPEN_POSITIONS"
