"variant_id","variant_name","base_pattern_id","strategy_family_id","terminal_direction","location_code","location_name","location_orientation","location_condition_ids","location_condition_keys","location_availability","confirmation_policy","confirmation_profile","expiry_class","observability","provenance","inherited_provenance","inherited_source_ids","status"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-SESSION_EXTREME-001","CVD Divergence / Absorption / Structure Break / LONG / Session Low","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","SESSION_EXTREME","Session Low","REVERSAL_EDGE","CD-G03-013 CD-G03-014","distance_to_session_low relation_to_session_low","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Absorption / Structure Break / LONG / Previous Day Low","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","PREVIOUS_DAY_EXTREME","Previous Day Low","REVERSAL_EDGE","CD-G03-017 CD-G03-018","distance_to_previous_day_low relation_to_previous_day_low","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-ROLLING_5M_EXTREME-001","CVD Divergence / Absorption / Structure Break / LONG / Rolling 5m Low","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","ROLLING_5M_EXTREME","Rolling 5m Low","REVERSAL_EDGE","CD-G03-027 CD-G03-028","distance_to_rolling_5m_low relation_to_rolling_5m_low","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-VALUE_AREA_EDGE-001","CVD Divergence / Absorption / Structure Break / LONG / Value Area Low","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","VALUE_AREA_EDGE","Value Area Low","REVERSAL_EDGE","CD-G03-045 CD-G03-046 CD-G11-005 CD-G11-006","distance_to_profile_val relation_to_profile_val value_area_low_distance_session value_area_low_distance_rolling_1h","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-VISIBLE_BOOK_WALL-001","CVD Divergence / Absorption / Structure Break / LONG / Visible Bid Wall","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","VISIBLE_BOOK_WALL","Visible Bid Wall","REVERSAL_EDGE","CD-G06-029 CD-G06-030","bid_wall_concentration_top10 distance_to_nearest_bid_wall","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-SESSION_EXTREME-001","CVD Divergence / Absorption / Structure Break / SHORT / Session High","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","SESSION_EXTREME","Session High","REVERSAL_EDGE","CD-G03-011 CD-G03-012","distance_to_session_high relation_to_session_high","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Absorption / Structure Break / SHORT / Previous Day High","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","PREVIOUS_DAY_EXTREME","Previous Day High","REVERSAL_EDGE","CD-G03-015 CD-G03-016","distance_to_previous_day_high relation_to_previous_day_high","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-ROLLING_5M_EXTREME-001","CVD Divergence / Absorption / Structure Break / SHORT / Rolling 5m High","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","ROLLING_5M_EXTREME","Rolling 5m High","REVERSAL_EDGE","CD-G03-025 CD-G03-026","distance_to_rolling_5m_high relation_to_rolling_5m_high","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-VALUE_AREA_EDGE-001","CVD Divergence / Absorption / Structure Break / SHORT / Value Area High","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","VALUE_AREA_EDGE","Value Area High","REVERSAL_EDGE","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","distance_to_profile_vah relation_to_profile_vah value_area_high_distance_session value_area_high_distance_rolling_1h","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / Absorption / Structure Break / SHORT / Visible Ask Wall","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","VISIBLE_BOOK_WALL","Visible Ask Wall","REVERSAL_EDGE","CD-G06-031 CD-G06-032","ask_wall_concentration_top10 distance_to_nearest_ask_wall","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Structure Break","BREAK_ACCEPT","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S19 S20","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-SESSION_EXTREME-001","CVD Divergence / Failed Break / Squeeze / LONG / Session Low","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","SESSION_EXTREME","Session Low","REVERSAL_EDGE","CD-G03-013 CD-G03-014","distance_to_session_low relation_to_session_low","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Failed Break / Squeeze / LONG / Previous Day Low","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","PREVIOUS_DAY_EXTREME","Previous Day Low","REVERSAL_EDGE","CD-G03-017 CD-G03-018","distance_to_previous_day_low relation_to_previous_day_low","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-ROLLING_5M_EXTREME-001","CVD Divergence / Failed Break / Squeeze / LONG / Rolling 5m Low","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","ROLLING_5M_EXTREME","Rolling 5m Low","REVERSAL_EDGE","CD-G03-027 CD-G03-028","distance_to_rolling_5m_low relation_to_rolling_5m_low","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-VALUE_AREA_EDGE-001","CVD Divergence / Failed Break / Squeeze / LONG / Value Area Low","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","VALUE_AREA_EDGE","Value Area Low","REVERSAL_EDGE","CD-G03-045 CD-G03-046 CD-G11-005 CD-G11-006","distance_to_profile_val relation_to_profile_val value_area_low_distance_session value_area_low_distance_rolling_1h","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-VISIBLE_BOOK_WALL-001","CVD Divergence / Failed Break / Squeeze / LONG / Visible Bid Wall","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","VISIBLE_BOOK_WALL","Visible Bid Wall","REVERSAL_EDGE","CD-G06-029 CD-G06-030","bid_wall_concentration_top10 distance_to_nearest_bid_wall","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-SESSION_EXTREME-001","CVD Divergence / Failed Break / Squeeze / SHORT / Session High","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","SESSION_EXTREME","Session High","REVERSAL_EDGE","CD-G03-011 CD-G03-012","distance_to_session_high relation_to_session_high","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Failed Break / Squeeze / SHORT / Previous Day High","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","PREVIOUS_DAY_EXTREME","Previous Day High","REVERSAL_EDGE","CD-G03-015 CD-G03-016","distance_to_previous_day_high relation_to_previous_day_high","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-ROLLING_5M_EXTREME-001","CVD Divergence / Failed Break / Squeeze / SHORT / Rolling 5m High","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","ROLLING_5M_EXTREME","Rolling 5m High","REVERSAL_EDGE","CD-G03-025 CD-G03-026","distance_to_rolling_5m_high relation_to_rolling_5m_high","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-VALUE_AREA_EDGE-001","CVD Divergence / Failed Break / Squeeze / SHORT / Value Area High","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","VALUE_AREA_EDGE","Value Area High","REVERSAL_EDGE","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","distance_to_profile_vah relation_to_profile_vah value_area_high_distance_session value_area_high_distance_rolling_1h","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / Failed Break / Squeeze / SHORT / Visible Ask Wall","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","VISIBLE_BOOK_WALL","Visible Ask Wall","REVERSAL_EDGE","CD-G06-031 CD-G06-032","ask_wall_concentration_top10 distance_to_nearest_ask_wall","AVAILABLE","BASE_CANONICAL_ONLY","Failed Break / Squeeze","BREAK_ACCEPT","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S08","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-LONG-SESSION_EXTREME-001","CVD Divergence / Retest / Weaker Aggressor / LONG / Session Low","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","LONG","SESSION_EXTREME","Session Low","REVERSAL_EDGE","CD-G03-013 CD-G03-014","distance_to_session_low relation_to_session_low","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-LONG-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Retest / Weaker Aggressor / LONG / Previous Day Low","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","LONG","PREVIOUS_DAY_EXTREME","Previous Day Low","REVERSAL_EDGE","CD-G03-017 CD-G03-018","distance_to_previous_day_low relation_to_previous_day_low","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-LONG-ROLLING_5M_EXTREME-001","CVD Divergence / Retest / Weaker Aggressor / LONG / Rolling 5m Low","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","LONG","ROLLING_5M_EXTREME","Rolling 5m Low","REVERSAL_EDGE","CD-G03-027 CD-G03-028","distance_to_rolling_5m_low relation_to_rolling_5m_low","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-LONG-VALUE_AREA_EDGE-001","CVD Divergence / Retest / Weaker Aggressor / LONG / Value Area Low","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","LONG","VALUE_AREA_EDGE","Value Area Low","REVERSAL_EDGE","CD-G03-045 CD-G03-046 CD-G11-005 CD-G11-006","distance_to_profile_val relation_to_profile_val value_area_low_distance_session value_area_low_distance_rolling_1h","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-LONG-VISIBLE_BOOK_WALL-001","CVD Divergence / Retest / Weaker Aggressor / LONG / Visible Bid Wall","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","LONG","VISIBLE_BOOK_WALL","Visible Bid Wall","REVERSAL_EDGE","CD-G06-029 CD-G06-030","bid_wall_concentration_top10 distance_to_nearest_bid_wall","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-SHORT-SESSION_EXTREME-001","CVD Divergence / Retest / Weaker Aggressor / SHORT / Session High","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","SHORT","SESSION_EXTREME","Session High","REVERSAL_EDGE","CD-G03-011 CD-G03-012","distance_to_session_high relation_to_session_high","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-SHORT-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Retest / Weaker Aggressor / SHORT / Previous Day High","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","SHORT","PREVIOUS_DAY_EXTREME","Previous Day High","REVERSAL_EDGE","CD-G03-015 CD-G03-016","distance_to_previous_day_high relation_to_previous_day_high","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-SHORT-ROLLING_5M_EXTREME-001","CVD Divergence / Retest / Weaker Aggressor / SHORT / Rolling 5m High","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","SHORT","ROLLING_5M_EXTREME","Rolling 5m High","REVERSAL_EDGE","CD-G03-025 CD-G03-026","distance_to_rolling_5m_high relation_to_rolling_5m_high","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-SHORT-VALUE_AREA_EDGE-001","CVD Divergence / Retest / Weaker Aggressor / SHORT / Value Area High","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","SHORT","VALUE_AREA_EDGE","Value Area High","REVERSAL_EDGE","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","distance_to_profile_vah relation_to_profile_vah value_area_high_distance_session value_area_high_distance_rolling_1h","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-RETEST-WEAKER-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / Retest / Weaker Aggressor / SHORT / Visible Ask Wall","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","SHORT","VISIBLE_BOOK_WALL","Visible Ask Wall","REVERSAL_EDGE","CD-G06-031 CD-G06-032","ask_wall_concentration_top10 distance_to_nearest_ask_wall","AVAILABLE","BASE_CANONICAL_ONLY","Retest / Weaker Aggressor","RETEST","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01 S13","UNVALIDATED"
"VAR-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind / SHORT / Visible Bid Wall","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","STR-CVD-DIVERGENCE","SHORT","VISIBLE_BOOK_WALL","Visible Bid Wall","BREAKOUT_BARRIER","CD-G06-029 CD-G06-030","bid_wall_concentration_top10 distance_to_nearest_bid_wall","AVAILABLE","BASE_CANONICAL_ONLY","Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","OI_LAGGED","LIMITED","DELTAENGINE_DERIVED_VARIANT","USER_DEFINED","","UNVALIDATED"
"VAR-ABS-FULL-THREE-ELEMENT-LONG-SESSION_EXTREME-001","Absorption Reversal / Absorption / Fade / Opposite Aggression / LONG / Session Low","PAT-ABS-FULL-THREE-ELEMENT-001","STR-ABSORPTION-REVERSAL","LONG","SESSION_EXTREME","Session Low","REVERSAL_EDGE","CD-G03-013 CD-G03-014","distance_to_session_low relation_to_session_low","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Fade / Opposite Aggression","REACTION","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01","UNVALIDATED"
"VAR-ABS-FULL-THREE-ELEMENT-LONG-PREVIOUS_DAY_EXTREME-001","Absorption Reversal / Absorption / Fade / Opposite Aggression / LONG / Previous Day Low","PAT-ABS-FULL-THREE-ELEMENT-001","STR-ABSORPTION-REVERSAL","LONG","PREVIOUS_DAY_EXTREME","Previous Day Low","REVERSAL_EDGE","CD-G03-017 CD-G03-018","distance_to_previous_day_low relation_to_previous_day_low","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Fade / Opposite Aggression","REACTION","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01","UNVALIDATED"
"VAR-ABS-FULL-THREE-ELEMENT-LONG-ROLLING_5M_EXTREME-001","Absorption Reversal / Absorption / Fade / Opposite Aggression / LONG / Rolling 5m Low","PAT-ABS-FULL-THREE-ELEMENT-001","STR-ABSORPTION-REVERSAL","LONG","ROLLING_5M_EXTREME","Rolling 5m Low","REVERSAL_EDGE","CD-G03-027 CD-G03-028","distance_to_rolling_5m_low relation_to_rolling_5m_low","AVAILABLE","BASE_CANONICAL_ONLY","Absorption / Fade / Opposite Aggression","REACTION","HYBRID","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S01","UNVALIDATED"
