"route_id","hook_id","hook_name","detector_status","engine_call_scope","hook_asserted_event_classes","hook_refresh_predicate_classes","variant_id","variant_name","base_pattern_id","strategy_family_id","terminal_direction","direction_hint","direction_compatibility","location_code","location_match","first_predicate_id","first_predicate_classes","matched_first_classes","matched_update_classes","matched_invalidation_classes","route_roles","runtime_route_enabled","direct_order_authority","status"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-VALUE_AREA_EDGE-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-VALUE_AREA_EDGE-001","CVD Divergence / Absorption / Structure Break / SHORT / Value Area High","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","VALUE_AREA_EDGE","False","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / Absorption / Structure Break / SHORT / Visible Ask Wall","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-SESSION_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-SESSION_EXTREME-001","CVD Divergence / Failed Break / Squeeze / LONG / Session Low","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","SESSION_EXTREME","False","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-PREVIOUS_DAY_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Failed Break / Squeeze / LONG / Previous Day Low","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","PREVIOUS_DAY_EXTREME","False","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-ROLLING_5M_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-ROLLING_5M_EXTREME-001","CVD Divergence / Failed Break / Squeeze / LONG / Rolling 5m Low","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","ROLLING_5M_EXTREME","False","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-VALUE_AREA_EDGE-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-VALUE_AREA_EDGE-001","CVD Divergence / Failed Break / Squeeze / LONG / Value Area Low","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","VALUE_AREA_EDGE","False","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-LONG-VISIBLE_BOOK_WALL-001","CVD Divergence / Failed Break / Squeeze / LONG / Visible Bid Wall","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-SESSION_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-SESSION_EXTREME-001","CVD Divergence / Failed Break / Squeeze / SHORT / Session High","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","SESSION_EXTREME","False","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-PREVIOUS_DAY_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Failed Break / Squeeze / SHORT / Previous Day High","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","PREVIOUS_DAY_EXTREME","False","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-ROLLING_5M_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-ROLLING_5M_EXTREME-001","CVD Divergence / Failed Break / Squeeze / SHORT / Rolling 5m High","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","ROLLING_5M_EXTREME","False","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-VALUE_AREA_EDGE-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-VALUE_AREA_EDGE-001","CVD Divergence / Failed Break / Squeeze / SHORT / Value Area High","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","VALUE_AREA_EDGE","False","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-FAILED-BREAK-SQUEEZE-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / Failed Break / Squeeze / SHORT / Visible Ask Wall","PAT-CVD-FAILED-BREAK-SQUEEZE-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-011","BREAK_ATTEMPT","BREAK_ATTEMPT","BREAK_ATTEMPT LIQUIDITY_PULL","","ACTIVE_INSTANCE_UPDATE FIRST_STATE_WAKE LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-RETEST-WEAKER-LONG-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-RETEST-WEAKER-LONG-VISIBLE_BOOK_WALL-001","CVD Divergence / Retest / Weaker Aggressor / LONG / Visible Bid Wall","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-016","RETEST_SEQUENCE","","","","LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-RETEST-WEAKER-SHORT-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-RETEST-WEAKER-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / Retest / Weaker Aggressor / SHORT / Visible Ask Wall","PAT-CVD-RETEST-WEAKER-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-016","RETEST_SEQUENCE","","","","LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-SHORT-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind / SHORT / Visible Bid Wall","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-019","FLOW_PRICE_DIVERGENCE","","ABSORPTION_STATE BREAK_ATTEMPT WALL_STATE","WALL_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-ABS-FULL-THREE-ELEMENT-LONG-SESSION_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-ABS-FULL-THREE-ELEMENT-LONG-SESSION_EXTREME-001","Absorption Reversal / Absorption / Fade / Opposite Aggression / LONG / Session Low","PAT-ABS-FULL-THREE-ELEMENT-001","STR-ABSORPTION-REVERSAL","LONG","UP","HINT_MATCHES_TERMINAL","SESSION_EXTREME","False","OPR-023","LOCATION_CONTEXT","","ABSORPTION_STATE PRICE_STALL","BREAK_ATTEMPT","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
"A01::VAR-ABS-FULL-THREE-ELEMENT-LONG-PREVIOUS_DAY_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-ABS-FULL-THREE-ELEMENT-LONG-PREVIOUS_DAY_EXTREME-001","Absorption Reversal / Absorption / Fade / Opposite Aggression / LONG / Previous Day Low","PAT-ABS-FULL-THREE-ELEMENT-001","STR-ABSORPTION-REVERSAL","LONG","UP","HINT_MATCHES_TERMINAL","PREVIOUS_DAY_EXTREME","False","OPR-023","LOCATION_CONTEXT","","ABSORPTION_STATE PRICE_STALL","BREAK_ATTEMPT","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
