"edge_id","strategy_family_id","strategy_family_name","pattern_id","pattern_name","strategy_version","edge_type","from_state_id","from_state_name","to_state_id","to_state_name","transition_guard","result","terminal_intent","invalidation_guard","expiry_class","observability","provenance","source_ids"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E03","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","CVD Divergence / Absorption / Structure Break","0.1.0","ADVANCE","S02_OBSERVED","divergence","S03_OBSERVED","aggression継続でもprice停止","aggression継続でもprice停止","ADVANCED","","","BREAK_ACCEPT","HYBRID","WORLD_DERIVED","S19 S20"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E04","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","CVD Divergence / Absorption / Structure Break","0.1.0","ADVANCE","S03_OBSERVED","aggression継続でもprice停止","S04_OBSERVED","absorption","absorption","ADVANCED","","","BREAK_ACCEPT","HYBRID","WORLD_DERIVED","S19 S20"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E05","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","CVD Divergence / Absorption / Structure Break","0.1.0","ADVANCE","S04_OBSERVED","absorption","S05_OBSERVED","minor structureを反対向きにbreak","minor structureを反対向きにbreak","ADVANCED","","","BREAK_ACCEPT","HYBRID","WORLD_DERIVED","S19 S20"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E90","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","CVD Divergence / Absorption / Structure Break","0.1.0","TERMINAL","S05_OBSERVED","minor structureを反対向きにbreak","S90_ORDER_READY","Pattern観察完了。risk／execution gateへOrder Intentを渡せる","reversal-side ready","ORDER_READY","reversal-side ready","","BREAK_ACCEPT","HYBRID","WORLD_DERIVED","S19 S20"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E98","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","CVD Divergence / Absorption / Structure Break","0.1.0","INVALIDATE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S98_INVALIDATED","反証によりObservation Instance終了","absorption level突破後にoutside hold","INVALIDATED","","absorption level突破後にoutside hold","BREAK_ACCEPT","HYBRID","WORLD_DERIVED","S19 S20"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E99","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","CVD Divergence / Absorption / Structure Break","0.1.0","EXPIRE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S99_EXPIRED","観察期限到達によりObservation Instance終了","expiry_class=BREAK_ACCEPTの較正済み期限到達","EXPIRED","","","BREAK_ACCEPT","HYBRID","WORLD_DERIVED","S19 S20"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001::E01","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-FAILED-BREAK-SQUEEZE-001","CVD Divergence / Failed Break / Squeeze","0.1.0","ADVANCE","S00_ARMED_BY_HOOK","Hookがnamed PatternのObservation Instanceを開始","S01_OBSERVED","range break","range break","ADVANCED","","","BREAK_ACCEPT","DIRECT","WORLD_DERIVED","S08"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001::E02","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-FAILED-BREAK-SQUEEZE-001","CVD Divergence / Failed Break / Squeeze","0.1.0","ADVANCE","S01_OBSERVED","range break","S02_OBSERVED","CVDがbreakと逆行","CVDがbreakと逆行","ADVANCED","","","BREAK_ACCEPT","DIRECT","WORLD_DERIVED","S08"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001::E03","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-FAILED-BREAK-SQUEEZE-001","CVD Divergence / Failed Break / Squeeze","0.1.0","ADVANCE","S02_OBSERVED","CVDがbreakと逆行","S03_OBSERVED","pullbackが深くなる","pullbackが深くなる","ADVANCED","","","BREAK_ACCEPT","DIRECT","WORLD_DERIVED","S08"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001::E04","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-FAILED-BREAK-SQUEEZE-001","CVD Divergence / Failed Break / Squeeze","0.1.0","ADVANCE","S03_OBSERVED","pullbackが深くなる","S04_OBSERVED","higher-low／lower-high形成","higher-low／lower-high形成","ADVANCED","","","BREAK_ACCEPT","DIRECT","WORLD_DERIVED","S08"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001::E05","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-FAILED-BREAK-SQUEEZE-001","CVD Divergence / Failed Break / Squeeze","0.1.0","ADVANCE","S04_OBSERVED","higher-low／lower-high形成","S05_OBSERVED","wedgeをrange側へbreak","wedgeをrange側へbreak","ADVANCED","","","BREAK_ACCEPT","DIRECT","WORLD_DERIVED","S08"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001::E90","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-FAILED-BREAK-SQUEEZE-001","CVD Divergence / Failed Break / Squeeze","0.1.0","TERMINAL","S05_OBSERVED","wedgeをrange側へbreak","S90_ORDER_READY","Pattern観察完了。risk／execution gateへOrder Intentを渡せる","range復帰方向ready","ORDER_READY","range復帰方向ready","","BREAK_ACCEPT","DIRECT","WORLD_DERIVED","S08"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001::E98","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-FAILED-BREAK-SQUEEZE-001","CVD Divergence / Failed Break / Squeeze","0.1.0","INVALIDATE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S98_INVALIDATED","反証によりObservation Instance終了","CVDがbreak方向へ再整列しoutside hold","INVALIDATED","","CVDがbreak方向へ再整列しoutside hold","BREAK_ACCEPT","DIRECT","WORLD_DERIVED","S08"
"PAT-CVD-FAILED-BREAK-SQUEEZE-001::E99","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-FAILED-BREAK-SQUEEZE-001","CVD Divergence / Failed Break / Squeeze","0.1.0","EXPIRE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S99_EXPIRED","観察期限到達によりObservation Instance終了","expiry_class=BREAK_ACCEPTの較正済み期限到達","EXPIRED","","","BREAK_ACCEPT","DIRECT","WORLD_DERIVED","S08"
"PAT-CVD-RETEST-WEAKER-001::E01","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-RETEST-WEAKER-001","CVD Divergence / Retest / Weaker Aggressor","0.1.0","ADVANCE","S00_ARMED_BY_HOOK","Hookがnamed PatternのObservation Instanceを開始","S01_OBSERVED","first extreme","first extreme","ADVANCED","","","RETEST","DIRECT","WORLD_DERIVED","S01 S13"
"PAT-CVD-RETEST-WEAKER-001::E02","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-RETEST-WEAKER-001","CVD Divergence / Retest / Weaker Aggressor","0.1.0","ADVANCE","S01_OBSERVED","first extreme","S02_OBSERVED","divergence","divergence","ADVANCED","","","RETEST","DIRECT","WORLD_DERIVED","S01 S13"
"PAT-CVD-RETEST-WEAKER-001::E03","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-RETEST-WEAKER-001","CVD Divergence / Retest / Weaker Aggressor","0.1.0","ADVANCE","S02_OBSERVED","divergence","S03_OBSERVED","同価格再test","同価格再test","ADVANCED","","","RETEST","DIRECT","WORLD_DERIVED","S01 S13"
"PAT-CVD-RETEST-WEAKER-001::E04","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-RETEST-WEAKER-001","CVD Divergence / Retest / Weaker Aggressor","0.1.0","ADVANCE","S03_OBSERVED","同価格再test","S04_OBSERVED","initiator printがさらに減る","initiator printがさらに減る","ADVANCED","","","RETEST","DIRECT","WORLD_DERIVED","S01 S13"
"PAT-CVD-RETEST-WEAKER-001::E05","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-RETEST-WEAKER-001","CVD Divergence / Retest / Weaker Aggressor","0.1.0","ADVANCE","S04_OBSERVED","initiator printがさらに減る","S05_OBSERVED","opposite aggression","opposite aggression","ADVANCED","","","RETEST","DIRECT","WORLD_DERIVED","S01 S13"
"PAT-CVD-RETEST-WEAKER-001::E90","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-RETEST-WEAKER-001","CVD Divergence / Retest / Weaker Aggressor","0.1.0","TERMINAL","S05_OBSERVED","opposite aggression","S90_ORDER_READY","Pattern観察完了。risk／execution gateへOrder Intentを渡せる","reversal-side ready","ORDER_READY","reversal-side ready","","RETEST","DIRECT","WORLD_DERIVED","S01 S13"
"PAT-CVD-RETEST-WEAKER-001::E98","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-RETEST-WEAKER-001","CVD Divergence / Retest / Weaker Aggressor","0.1.0","INVALIDATE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S98_INVALIDATED","反証によりObservation Instance終了","retestでinitiator activity回復し極値更新","INVALIDATED","","retestでinitiator activity回復し極値更新","RETEST","DIRECT","WORLD_DERIVED","S01 S13"
"PAT-CVD-RETEST-WEAKER-001::E99","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-RETEST-WEAKER-001","CVD Divergence / Retest / Weaker Aggressor","0.1.0","EXPIRE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S99_EXPIRED","観察期限到達によりObservation Instance終了","expiry_class=RETESTの較正済み期限到達","EXPIRED","","","RETEST","DIRECT","WORLD_DERIVED","S01 S13"
"PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E01","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","0.1.0","ADVANCE","S00_ARMED_BY_HOOK","Hookがnamed PatternのObservation Instanceを開始","S01_OBSERVED","bearish divergence","bearish divergence","ADVANCED","","","OI_LAGGED","LIMITED","USER_DEFINED",""
"PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E02","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","0.1.0","ADVANCE","S01_OBSERVED","bearish divergence","S02_OBSERVED","bid-side absorption","bid-side absorption","ADVANCED","","","OI_LAGGED","LIMITED","USER_DEFINED",""
"PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E03","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","0.1.0","ADVANCE","S02_OBSERVED","bid-side absorption","S03_OBSERVED","buy wall崩壊","buy wall崩壊","ADVANCED","","","OI_LAGGED","LIMITED","USER_DEFINED",""
"PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E04","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","0.1.0","ADVANCE","S03_OBSERVED","buy wall崩壊","S04_OBSERVED","fresh OI減少","fresh OI減少","ADVANCED","","","OI_LAGGED","LIMITED","USER_DEFINED",""
"PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E90","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","0.1.0","TERMINAL","S04_OBSERVED","fresh OI減少","S90_ORDER_READY","Pattern観察完了。risk／execution gateへOrder Intentを渡せる","SELL ready","ORDER_READY","SELL ready","","OI_LAGGED","LIMITED","USER_DEFINED",""
"PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E98","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","0.1.0","INVALIDATE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S98_INVALIDATED","反証によりObservation Instance終了","bid wall再構築、price回復、またはOI不明／stale","INVALIDATED","","bid wall再構築、price回復、またはOI不明／stale","OI_LAGGED","LIMITED","USER_DEFINED",""
"PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001::E99","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-BEAR-ABSFAIL-BIDBREAK-OIUNWIND-001","CVD Divergence / Bearish / Absorption Failure / Buy-Wall Break / OI Unwind","0.1.0","EXPIRE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S99_EXPIRED","観察期限到達によりObservation Instance終了","expiry_class=OI_LAGGEDの較正済み期限到達","EXPIRED","","","OI_LAGGED","LIMITED","USER_DEFINED",""
"PAT-ABS-FULL-THREE-ELEMENT-001::E01","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","ADVANCE","S00_ARMED_BY_HOOK","Hookがnamed PatternのObservation Instanceを開始","S01_OBSERVED","key level","key level","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-FULL-THREE-ELEMENT-001::E02","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","ADVANCE","S01_OBSERVED","key level","S02_OBSERVED","initiator優勢だがprice停止","initiator優勢だがprice停止","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-FULL-THREE-ELEMENT-001::E03","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","ADVANCE","S02_OBSERVED","initiator優勢だがprice停止","S03_OBSERVED","absorption","absorption","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-FULL-THREE-ELEMENT-001::E04","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","ADVANCE","S03_OBSERVED","absorption","S04_OBSERVED","initiator fade","initiator fade","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-FULL-THREE-ELEMENT-001::E05","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","ADVANCE","S04_OBSERVED","initiator fade","S05_OBSERVED","short pause","short pause","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-FULL-THREE-ELEMENT-001::E06","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","ADVANCE","S05_OBSERVED","short pause","S06_OBSERVED","opposite aggressor参加","opposite aggressor参加","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-FULL-THREE-ELEMENT-001::E90","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","TERMINAL","S06_OBSERVED","opposite aggressor参加","S90_ORDER_READY","Pattern観察完了。risk／execution gateへOrder Intentを渡せる","reversal-side ready","ORDER_READY","reversal-side ready","","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-FULL-THREE-ELEMENT-001::E98","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","INVALIDATE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S98_INVALIDATED","反証によりObservation Instance終了","absorbed levelがbreakしoutside hold","INVALIDATED","","absorbed levelがbreakしoutside hold","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-FULL-THREE-ELEMENT-001::E99","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-FULL-THREE-ELEMENT-001","Absorption Reversal / Absorption / Fade / Opposite Aggression","0.1.0","EXPIRE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S99_EXPIRED","観察期限到達によりObservation Instance終了","expiry_class=REACTIONの較正済み期限到達","EXPIRED","","","REACTION","HYBRID","WORLD_DERIVED","S01"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E01","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-SUPPORT-HOLD-BOUNCE-001","Absorption Reversal / Support Hold / Sell Absorption / Bounce","0.1.0","ADVANCE","S00_ARMED_BY_HOOK","Hookがnamed PatternのObservation Instanceを開始","S01_OBSERVED","supportへsell aggression","supportへsell aggression","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S20"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E02","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-SUPPORT-HOLD-BOUNCE-001","Absorption Reversal / Support Hold / Sell Absorption / Bounce","0.1.0","ADVANCE","S01_OBSERVED","supportへsell aggression","S02_OBSERVED","high volumeでも下抜けない","high volumeでも下抜けない","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S20"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E03","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-SUPPORT-HOLD-BOUNCE-001","Absorption Reversal / Support Hold / Sell Absorption / Bounce","0.1.0","ADVANCE","S02_OBSERVED","high volumeでも下抜けない","S03_OBSERVED","passive buy吸収継続","passive buy吸収継続","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S20"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E04","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-SUPPORT-HOLD-BOUNCE-001","Absorption Reversal / Support Hold / Sell Absorption / Bounce","0.1.0","ADVANCE","S03_OBSERVED","passive buy吸収継続","S04_OBSERVED","sellers減衰","sellers減衰","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S20"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E05","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-SUPPORT-HOLD-BOUNCE-001","Absorption Reversal / Support Hold / Sell Absorption / Bounce","0.1.0","ADVANCE","S04_OBSERVED","sellers減衰","S05_OBSERVED","price上向き","price上向き","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S20"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E90","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-SUPPORT-HOLD-BOUNCE-001","Absorption Reversal / Support Hold / Sell Absorption / Bounce","0.1.0","TERMINAL","S05_OBSERVED","price上向き","S90_ORDER_READY","Pattern観察完了。risk／execution gateへOrder Intentを渡せる","BUY ready","ORDER_READY","BUY ready","","REACTION","HYBRID","WORLD_DERIVED","S10 S20"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E98","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-SUPPORT-HOLD-BOUNCE-001","Absorption Reversal / Support Hold / Sell Absorption / Bounce","0.1.0","INVALIDATE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S98_INVALIDATED","反証によりObservation Instance終了","support breakかつretestでresistance化","INVALIDATED","","support breakかつretestでresistance化","REACTION","HYBRID","WORLD_DERIVED","S10 S20"
"PAT-ABS-SUPPORT-HOLD-BOUNCE-001::E99","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-SUPPORT-HOLD-BOUNCE-001","Absorption Reversal / Support Hold / Sell Absorption / Bounce","0.1.0","EXPIRE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S99_EXPIRED","観察期限到達によりObservation Instance終了","expiry_class=REACTIONの較正済み期限到達","EXPIRED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S20"
"PAT-ABS-RESISTANCE-HOLD-BOUNCE-001::E01","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-RESISTANCE-HOLD-BOUNCE-001","Absorption Reversal / Resistance Hold / Buy Absorption / Rejection","0.1.0","ADVANCE","S00_ARMED_BY_HOOK","Hookがnamed PatternのObservation Instanceを開始","S01_OBSERVED","resistanceへbuy aggression","resistanceへbuy aggression","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S16"
"PAT-ABS-RESISTANCE-HOLD-BOUNCE-001::E02","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-RESISTANCE-HOLD-BOUNCE-001","Absorption Reversal / Resistance Hold / Buy Absorption / Rejection","0.1.0","ADVANCE","S01_OBSERVED","resistanceへbuy aggression","S02_OBSERVED","high volumeでも上抜けない","high volumeでも上抜けない","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S16"
"PAT-ABS-RESISTANCE-HOLD-BOUNCE-001::E03","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-RESISTANCE-HOLD-BOUNCE-001","Absorption Reversal / Resistance Hold / Buy Absorption / Rejection","0.1.0","ADVANCE","S02_OBSERVED","high volumeでも上抜けない","S03_OBSERVED","passive sell吸収継続","passive sell吸収継続","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S16"
"PAT-ABS-RESISTANCE-HOLD-BOUNCE-001::E04","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-RESISTANCE-HOLD-BOUNCE-001","Absorption Reversal / Resistance Hold / Buy Absorption / Rejection","0.1.0","ADVANCE","S03_OBSERVED","passive sell吸収継続","S04_OBSERVED","buyers減衰","buyers減衰","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S16"
"PAT-ABS-RESISTANCE-HOLD-BOUNCE-001::E05","STR-ABSORPTION-REVERSAL","Absorption Reversal","PAT-ABS-RESISTANCE-HOLD-BOUNCE-001","Absorption Reversal / Resistance Hold / Buy Absorption / Rejection","0.1.0","ADVANCE","S04_OBSERVED","buyers減衰","S05_OBSERVED","price下向き","price下向き","ADVANCED","","","REACTION","HYBRID","WORLD_DERIVED","S10 S16"
