"hook_id","hook_name","category","direction_hint","detector_status","existing_routing_class","asserted_event_classes","capability_predicate_classes","compatible_location_codes","engine_call_scope","runtime_route_enabled","direct_order_authority","routing_gap","status"
"A17","bid_iceberg_suspected","A","UP","IMPLEMENTED_UNCALIBRATED","SUSPECTED_CONTEXT_ONLY","ICEBERG_REFILL","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","SUSPECTED_CONTEXT_ONLY","NO","NO","","UNVALIDATED"
"A18","ask_iceberg_suspected","A","DOWN","IMPLEMENTED_UNCALIBRATED","SUSPECTED_CONTEXT_ONLY","ICEBERG_REFILL","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","SUSPECTED_CONTEXT_ONLY","NO","NO","","UNVALIDATED"
"A19","bid_spoofing_suspected","A","DOWN","IMPLEMENTED_UNCALIBRATED","SUSPECTED_CONTEXT_ONLY","LIQUIDITY_PULL","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","SUSPECTED_CONTEXT_ONLY","NO","NO","","UNVALIDATED"
"A20","ask_spoofing_suspected","A","UP","IMPLEMENTED_UNCALIBRATED","SUSPECTED_CONTEXT_ONLY","LIQUIDITY_PULL","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","SUSPECTED_CONTEXT_ONLY","NO","NO","","UNVALIDATED"
"A21","upside_vacuum","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_PULL","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A22","downside_vacuum","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_PULL","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A23","bid_wall_tracks_up","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_STACK_REBUILD WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A24","ask_wall_tracks_down","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_STACK_REBUILD WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B01","consecutive_market_buys","B","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B02","consecutive_market_sells","B","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B03","buy_aggression","B","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B04","sell_aggression","B","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B05","trade_speed_spike","B","NONE","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_PARTICIPATION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B06","trade_pause","B","NONE","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_FADE TEMPORAL_SEQUENCE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TEMPORAL_SEQUENCE TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B07","large_market_buy","B","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B08","large_market_sell","B","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B09","large_buy_cluster","B","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B10","large_sell_cluster","B","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B11","buy_sweep","B","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","STOP_SWEEP TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B12","sell_sweep","B","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","STOP_SWEEP TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B13","average_trade_size_spike","B","NONE","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_PARTICIPATION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B14","small_trade_burst","B","NONE","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TAPE_PARTICIPATION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B15","buy_delta_spike","B","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","DELTA_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B16","sell_delta_spike","B","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","DELTA_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B17","delta_flip_buy_to_sell","B","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","DELTA_FLIP DELTA_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B18","delta_flip_sell_to_buy","B","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","DELTA_FLIP DELTA_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B19","directional_persistence","B","NONE","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","PRICE_PROGRESS TAPE_AGGRESSION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"B20","high_volume_neutral_delta","B","NONE","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","DELTA_STATE TAPE_PARTICIPATION","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE DELTA_FLIP DELTA_STATE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL STOP_SWEEP TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C01","buy_absorption","C","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","ABSORPTION_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C02","sell_absorption","C","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","ABSORPTION_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C03","buy_absorption_failed","C","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","ABSORPTION_STATE BREAK_ATTEMPT WALL_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C04","sell_absorption_failed","C","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","ABSORPTION_STATE BREAK_ATTEMPT WALL_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C05","repeated_absorption","C","BOTH","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","ABSORPTION_STATE RETEST_SEQUENCE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL RETEST_SEQUENCE WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C06","wall_collision_started","C","BOTH","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","ABSORPTION_STATE WALL_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C07","ask_wall_consumed","C","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BREAK_ATTEMPT WALL_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C08","bid_wall_consumed","C","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BREAK_ATTEMPT WALL_STATE","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"C09","liquidation_absorbed","C","NONE","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","ABSORPTION_STATE LIQUIDATION_FLOW PRICE_STALL","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDATION_FLOW PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"D01","buy_effective_transition","D","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","PRICE_PROGRESS","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"D02","sell_effective_transition","D","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","PRICE_PROGRESS","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"D03","buy_trapped_transition","D","DOWN","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TRAPPED_PARTICIPANTS","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"D04","sell_trapped_transition","D","UP","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","TRAPPED_PARTICIPANTS","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"D05","stalled_transition","D","BOTH","REGISTERED_UNIMPLEMENTED","DECISION_RELEVANT_WAKE","PRICE_STALL","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"D06","effective_to_trapped_fast","D","BOTH","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","TRAPPED_PARTICIPANTS","ABSORPTION_STATE BREAK_ATTEMPT BREAKOUT_FAILURE FLOW_PRICE_DIVERGENCE PRICE_PROGRESS PRICE_REVERSAL PRICE_STALL TRAPPED_PARTICIPANTS","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
